corruption,severity,top1_accuracy,delta_top1,top5_accuracy,delta_top5,macro_f1,delta_macro_f1,balanced_accuracy,delta_balanced_accuracy
clean,0.0,78.4149169921875,0.0,96.81817626953125,0.0,77.56160258637003,0.0,77.95292074339633,0.0
gaussian_noise,0.05,73.07691955566406,-5.3379974365234375,94.95338439941406,-1.8647918701171875,72.14819616497545,-5.413406421394583,72.82784438574353,-5.125076357652802
gaussian_noise,0.1,58.29836654663086,-20.11655044555664,86.93473052978516,-9.883445739746094,57.74298860949171,-19.818613976878318,58.07280352503774,-19.880117218358592
gaussian_noise,0.2,24.347318649291992,-54.06759834289551,52.400936126708984,-44.417240142822266,24.373340629228633,-53.18826195714139,24.056152738773402,-53.89676800462293
gaussian_blur,1.0,74.53380584716797,-3.8811111450195312,95.13986206054688,-1.678314208984375,73.79410957315413,-3.7674930132158977,74.32064461624361,-3.6322761271527213
gaussian_blur,2.0,59.32400894165039,-19.09090805053711,87.8787841796875,-8.93939208984375,58.42692413326692,-19.134678453103106,59.30401067747558,-18.648910065920752
gaussian_blur,4.0,30.419578552246094,-47.995338439941406,59.463871002197266,-37.354305267333984,29.793401868019192,-47.76820071835084,30.59437124563899,-47.358549497757345
central_occlusion,0.1,63.60139846801758,-14.813518524169922,89.66200256347656,-7.1561737060546875,62.81557846343049,-14.746024122939538,63.07026930731035,-14.882651436085986
central_occlusion,0.25,41.28205108642578,-37.13286590576172,71.4685287475586,-25.349647521972656,40.81757703629467,-36.74402555007536,40.702592579414244,-37.25032816398209
central_occlusion,0.4,18.752912521362305,-59.662004470825195,43.578086853027344,-53.240089416503906,19.21429992088573,-58.3473026654843,18.64732668151042,-59.30559406188591
