corruption,severity,sklearn_map,delta_sklearn_map,voc07_map,delta_voc07_map,label_accuracy,delta_label_accuracy,micro_f1,delta_micro_f1,macro_f1,delta_macro_f1
clean,0.0,86.79529962138082,0.0,83.58318923186708,0.0,97.05449040347081,0.0,76.95731658850647,0.0,81.11430275222324,0.0
gaussian_noise,0.05,85.67227860303937,-1.123021018341447,82.7103769823451,-0.872812249521985,96.88074699505187,-0.1737434084189431,75.31757517285736,-1.6397414156491124,79.2601615524672,-1.854141199756043
gaussian_noise,0.1,82.8431393250736,-3.952160296307227,80.21592031862778,-3.3672689132393003,96.56577356458479,-0.48871683888602035,72.20394736842107,-4.753369220085403,75.50086860629168,-5.6134341459315635
gaussian_noise,0.2,73.47074444921743,-13.324555172163386,71.90870094692488,-11.6744882849422,95.63710996636897,-1.4173804371018406,61.557743957027746,-15.399572631478726,62.58979115824981,-18.52451159397343
gaussian_blur,1.0,85.3830869739783,-1.4122126474025265,82.48896614521558,-1.0942230866514961,97.03315349366497,-0.021336909805839355,76.4743796326136,-0.48293695589286756,78.895031138747,-2.219271613476238
gaussian_blur,2.0,80.32629845094486,-6.469001170435959,78.05853763543314,-5.524651596433941,96.69582711006798,-0.3586632934028273,72.80481685900652,-4.152499729499951,71.18692111010616,-9.927381642117084
gaussian_blur,4.0,62.05530435884964,-24.73999526253118,61.351694769026885,-22.231494462840196,95.23678889667856,-1.8177015067922468,55.76523872428759,-21.19207786421888,48.61524042201329,-32.49906233020995
central_occlusion,0.1,83.04970193806697,-3.7455976833138465,80.33914897869563,-3.2440402531714483,96.68769876347527,-0.3667916399955402,73.81946675232894,-3.137849836177537,76.33529916669625,-4.7790035855269934
central_occlusion,0.25,70.58608310414391,-16.20921651723691,69.01550756564944,-14.567681666217638,95.51112059418213,-1.5433698092886772,61.40810621942697,-15.549210369079503,61.135342673437876,-19.978960078785363
central_occlusion,0.4,45.25655666360463,-41.53874295777619,46.42681945593289,-37.15636977593419,93.64769713780595,-3.4067932656648594,31.95472355245973,-45.00259303604675,30.332412197399826,-50.78189055482341
