class_name,class_index,test_images,accuracy
american_pit_bull_terrier,2,100,56.99999999999999
staffordshire_bull_terrier,34,89,66.29213483146067
Ragdoll,26,100,83.0
British_Shorthair,9,100,86.0
miniature_pinscher,21,100,88.0
american_bulldog,1,100,89.0
basset_hound,3,100,89.0
chihuahua,10,100,90.0
Persian,23,100,90.0
Russian_Blue,27,100,90.0
Birman,6,100,91.0
wheaten_terrier,35,100,92.0
Bengal,5,100,93.0
Maine_Coon,20,100,93.0
boxer,8,99,93.93939393939394
beagle,4,100,94.0
Siamese,32,100,94.0
Sphynx,33,100,94.0
Abyssinian,0,98,94.89795918367348
english_cocker_spaniel,12,100,95.0
Egyptian_Mau,11,97,95.87628865979381
english_setter,13,100,96.0
havanese,16,100,96.0
pomeranian,24,100,97.0
Bombay,7,88,97.72727272727273
great_pyrenees,15,100,98.0
keeshond,18,99,98.98989898989899
scottish_terrier,30,99,98.98989898989899
german_shorthaired,14,100,99.0
leonberger,19,100,99.0
pug,25,100,99.0
saint_bernard,28,100,99.0
samoyed,29,100,99.0
shiba_inu,31,100,99.0
yorkshire_terrier,36,100,99.0
japanese_chin,17,100,100.0
newfoundland,22,100,100.0
