true_class,predicted_class,count,true_class_error_rate
american_pit_bull_terrier,staffordshire_bull_terrier,18,18.0
american_pit_bull_terrier,american_bulldog,16,16.0
Ragdoll,Birman,13,13.0
staffordshire_bull_terrier,american_pit_bull_terrier,12,13.48314606741573
staffordshire_bull_terrier,american_bulldog,11,12.359550561797752
basset_hound,beagle,8,8.0
boxer,american_bulldog,6,6.0606060606060606
Birman,Ragdoll,6,6.0
Persian,Ragdoll,5,5.0
Russian_Blue,Bombay,5,5.0
staffordshire_bull_terrier,boxer,4,4.49438202247191
Egyptian_Mau,Bengal,4,4.123711340206185
american_bulldog,boxer,4,4.0
american_bulldog,saint_bernard,4,4.0
american_pit_bull_terrier,boxer,4,4.0
Bengal,Maine_Coon,4,4.0
British_Shorthair,Ragdoll,4,4.0
miniature_pinscher,staffordshire_bull_terrier,4,4.0
wheaten_terrier,havanese,4,4.0
staffordshire_bull_terrier,german_shorthaired,3,3.3707865168539324
Abyssinian,Bengal,3,3.061224489795918
american_pit_bull_terrier,german_shorthaired,3,3.0
beagle,basset_hound,3,3.0
Bengal,Egyptian_Mau,3,3.0
British_Shorthair,Abyssinian,3,3.0
chihuahua,Sphynx,3,3.0
english_setter,english_cocker_spaniel,3,3.0
Maine_Coon,Bengal,3,3.0
miniature_pinscher,chihuahua,3,3.0
american_pit_bull_terrier,miniature_pinscher,2,2.0
Birman,Siamese,2,2.0
British_Shorthair,Maine_Coon,2,2.0
British_Shorthair,Russian_Blue,2,2.0
chihuahua,pomeranian,2,2.0
chihuahua,staffordshire_bull_terrier,2,2.0
english_cocker_spaniel,english_setter,2,2.0
english_cocker_spaniel,havanese,2,2.0
havanese,scottish_terrier,2,2.0
Maine_Coon,Bombay,2,2.0
miniature_pinscher,american_pit_bull_terrier,2,2.0
Persian,Maine_Coon,2,2.0
pomeranian,Persian,2,2.0
Ragdoll,Persian,2,2.0
Russian_Blue,Abyssinian,2,2.0
Russian_Blue,British_Shorthair,2,2.0
Siamese,Birman,2,2.0
Siamese,chihuahua,2,2.0
Bombay,Bengal,1,1.1363636363636365
Bombay,scottish_terrier,1,1.1363636363636365
Abyssinian,Persian,1,1.0204081632653061
Abyssinian,pug,1,1.0204081632653061
keeshond,pomeranian,1,1.0101010101010102
scottish_terrier,havanese,1,1.0101010101010102
american_bulldog,american_pit_bull_terrier,1,1.0
american_bulldog,beagle,1,1.0
american_bulldog,Sphynx,1,1.0
basset_hound,american_bulldog,1,1.0
basset_hound,english_setter,1,1.0
basset_hound,german_shorthaired,1,1.0
beagle,boxer,1,1.0
beagle,saint_bernard,1,1.0
beagle,staffordshire_bull_terrier,1,1.0
Birman,Persian,1,1.0
British_Shorthair,Bombay,1,1.0
British_Shorthair,Egyptian_Mau,1,1.0
British_Shorthair,miniature_pinscher,1,1.0
chihuahua,american_pit_bull_terrier,1,1.0
chihuahua,miniature_pinscher,1,1.0
chihuahua,Russian_Blue,1,1.0
english_cocker_spaniel,newfoundland,1,1.0
english_setter,saint_bernard,1,1.0
german_shorthaired,boxer,1,1.0
great_pyrenees,beagle,1,1.0
great_pyrenees,english_setter,1,1.0
havanese,wheaten_terrier,1,1.0
havanese,yorkshire_terrier,1,1.0
leonberger,boxer,1,1.0
Maine_Coon,japanese_chin,1,1.0
Maine_Coon,Ragdoll,1,1.0
miniature_pinscher,boxer,1,1.0
miniature_pinscher,Egyptian_Mau,1,1.0
miniature_pinscher,Sphynx,1,1.0
Persian,Birman,1,1.0
Persian,Bombay,1,1.0
Persian,Egyptian_Mau,1,1.0
pomeranian,samoyed,1,1.0
pug,boxer,1,1.0
Ragdoll,Maine_Coon,1,1.0
Ragdoll,pomeranian,1,1.0
Russian_Blue,Egyptian_Mau,1,1.0
saint_bernard,japanese_chin,1,1.0
samoyed,boxer,1,1.0
shiba_inu,chihuahua,1,1.0
Siamese,Abyssinian,1,1.0
Siamese,Bengal,1,1.0
Sphynx,american_pit_bull_terrier,1,1.0
Sphynx,Bengal,1,1.0
Sphynx,Bombay,1,1.0
Sphynx,chihuahua,1,1.0
Sphynx,Egyptian_Mau,1,1.0
Sphynx,miniature_pinscher,1,1.0
wheaten_terrier,english_cocker_spaniel,1,1.0
wheaten_terrier,great_pyrenees,1,1.0
wheaten_terrier,leonberger,1,1.0
wheaten_terrier,scottish_terrier,1,1.0
yorkshire_terrier,havanese,1,1.0
