class_index,class_name,prototype_1_index,prototype_2_index,prototype_3_index,prototype_1_image_id,prototype_2_image_id,prototype_3_image_id,prototype_1_labels,prototype_2_labels,prototype_3_labels,unique_prototype_count,cosine_s1_s2,cosine_s1_s3,cosine_s2_s3,mean_cosine_similarity,min_cosine_similarity,max_cosine_similarity,diversity,euclidean_s1_s2,euclidean_s1_s3,euclidean_s2_s3,mean_euclidean_distance,min_euclidean_distance,max_euclidean_distance,sklearn_ap,voc_2007_11_point_ap,positive_count
0,aeroplane,1429,4357,1034,002847,008692,002099,"[""aeroplane""]","[""aeroplane"", ""person""]","[""aeroplane""]",3,0.8794311285018921,0.9985296726226807,0.8773574829101562,0.9184394280115763,0.8773574829101562,0.9985296726226807,0.0815605719884237,13.082710266113281,8.653026580810547,19.216575622558594,13.650770823160807,8.653026580810547,19.216575622558594,97.53849691128897,91.2269491975731,204
1,bicycle,605,1258,12,001215,002508,000030,"[""bicycle""]","[""bicycle""]","[""bicycle"", ""person""]",3,0.9632430076599121,0.8898237943649292,0.8722122311592102,0.9084263443946838,0.8722122311592102,0.9632430076599121,0.09157365560531616,16.731706619262695,32.31000900268555,42.441165924072266,30.494293848673504,16.731706619262695,42.441165924072266,93.42532988750138,89.94056943884074,239
2,bird,4233,2915,3946,008423,005805,007833,"[""bird""]","[""bird""]","[""bird"", ""boat""]",3,0.9992908835411072,0.5317056179046631,0.5304625034332275,0.6871530016263326,0.5304625034332275,0.9992908835411072,0.31284699837366736,11.892557144165039,37.233882904052734,29.14419937133789,26.090213139851887,11.892557144165039,37.233882904052734,94.84195686520371,90.4983839686497,282
3,boat,2202,3714,2446,004371,007365,004885,"[""boat""]","[""boat""]","[""boat""]",3,0.991605818271637,0.9720267057418823,0.9821029901504517,0.981911838054657,0.9720267057418823,0.991605818271637,0.018088161945343018,12.736809730529785,25.137100219726562,13.810164451599121,17.22802480061849,12.736809730529785,25.137100219726562,94.53442139676707,89.77903149322644,172
4,bottle,1480,1221,3226,002953,002444,006409,"[""bottle"", ""tvmonitor""]","[""bottle"", ""person""]","[""bottle"", ""diningtable"", ""person""]",3,0.6530205011367798,0.41185781359672546,0.7168900370597839,0.5939227839310964,0.41185781359672546,0.7168900370597839,0.40607721606890357,32.75164794921875,43.5018196105957,34.2788200378418,36.844095865885414,32.75164794921875,43.5018196105957,58.72636858438168,58.4767937688564,212
5,bus,3023,1717,4564,006018,003407,009105,"[""bus"", ""car""]","[""bus"", ""person""]","[""bus""]",3,0.9190372824668884,0.947080135345459,0.9807088375091553,0.9489420851071676,0.9190372824668884,0.9807088375091553,0.0510579148928324,17.905641555786133,15.869335174560547,16.09131622314453,16.622097651163738,15.869335174560547,17.905641555786133,90.19767990097642,86.01145902980805,174
6,car,3063,3023,3401,006103,006018,006748,"[""car"", ""person""]","[""bus"", ""car""]","[""car""]",3,0.39545372128486633,0.7939959764480591,0.27995583415031433,0.4898018439610799,0.27995583415031433,0.7939959764480591,0.5101981560389202,39.20808792114258,20.8360595703125,45.9214973449707,35.32188161214193,20.8360595703125,45.9214973449707,90.49159893346346,87.48551916409,721
7,cat,501,4861,3706,001009,009670,007344,"[""cat""]","[""cat""]","[""cat"", ""pottedplant""]",3,0.9148049354553223,0.7240025997161865,0.7121689319610596,0.7836588223775228,0.7121689319610596,0.9148049354553223,0.21634117762247718,12.76706600189209,24.147113800048828,24.04796600341797,20.32071526845296,12.76706600189209,24.147113800048828,95.16567725026088,91.92888709758772,322
8,chair,1537,240,3899,003061,000492,007732,"[""chair""]","[""chair"", ""diningtable""]","[""chair"", ""tvmonitor""]",3,0.6151198744773865,0.6400721073150635,0.3818560242652893,0.5456826686859131,0.3818560242652893,0.6400721073150635,0.4543173313140869,28.227489471435547,21.25229263305664,35.67024612426758,28.383342742919922,21.25229263305664,35.67024612426758,68.15999936847257,67.37238651037816,417
9,cow,4636,4980,2277,009245,009897,004537,"[""cow""]","[""cow""]","[""cow"", ""horse"", ""person""]",3,0.995198667049408,0.9173551201820374,0.9305901527404785,0.947714646657308,0.9173551201820374,0.995198667049408,0.05228535334269202,8.54057502746582,21.994897842407227,17.352659225463867,15.962710698445639,8.54057502746582,21.994897842407227,89.62059508113053,86.1221056155168,127
10,diningtable,126,1977,3226,000249,003923,006409,"[""chair"", ""diningtable""]","[""diningtable"", ""person""]","[""bottle"", ""diningtable"", ""person""]",3,0.7291032671928406,0.5276266932487488,0.8402690291404724,0.6989996631940206,0.5276266932487488,0.8402690291404724,0.3010003368059794,30.80077362060547,40.87079620361328,26.244401931762695,32.63865725199381,26.244401931762695,40.87079620361328,81.17278667877508,78.61029485607523,190
11,dog,1892,1483,1691,003753,002957,003360,"[""dog""]","[""chair"", ""dog""]","[""dog"", ""person""]",3,0.8332414031028748,0.8546860814094543,0.7515947818756104,0.8131740887959799,0.7515947818756104,0.8546860814094543,0.18682591120402015,15.729348182678223,21.94671630859375,27.554903030395508,21.743655840555828,15.729348182678223,27.554903030395508,93.9747972408746,90.86035973140038,418
12,horse,2989,3421,3173,005948,006789,006295,"[""dog"", ""horse"", ""person""]","[""horse"", ""person""]","[""horse""]",3,0.7922900915145874,0.7388162016868591,0.8926230072975159,0.8079097668329874,0.7388162016868591,0.8926230072975159,0.19209023316701257,45.083892822265625,35.17258071899414,34.02693176269531,38.094468434651695,34.02693176269531,45.083892822265625,96.58818616154545,91.27264065849839,274
13,motorbike,244,26,4246,000499,000051,008444,"[""motorbike"", ""person""]","[""motorbike""]","[""car"", ""motorbike"", ""person""]",3,0.9655200242996216,0.896966814994812,0.8355886340141296,0.8993584911028544,0.8355886340141296,0.9655200242996216,0.10064150889714563,19.79627799987793,24.786006927490234,23.017066955566406,22.533117294311523,19.79627799987793,24.786006927490234,92.4471010196956,88.67872848039165,222
14,person,4681,2466,244,009330,004935,000499,"[""person""]","[""horse"", ""person""]","[""motorbike"", ""person""]",3,0.4252120554447174,0.3277616798877716,0.0888781026005745,0.28061727931102115,0.0888781026005745,0.4252120554447174,0.7193827206889789,58.879817962646484,51.1882438659668,80.5516586303711,63.53990681966146,51.1882438659668,80.5516586303711,88.37209476508818,86.8441879843599,2007
15,pottedplant,571,4429,707,001154,008835,001430,"[""pottedplant"", ""sofa""]","[""pottedplant""]","[""diningtable"", ""person"", ""pottedplant"", ""tvmonitor""]",3,0.6069035530090332,0.4270634055137634,0.5973394513130188,0.5437688032786051,0.4270634055137634,0.6069035530090332,0.4562311967213949,32.90406799316406,34.22879409790039,35.209068298339844,34.1139767964681,32.90406799316406,35.209068298339844,69.64506537072765,68.37294823306405,224
16,sheep,2646,3442,4692,005288,006833,009349,"[""sheep""]","[""person"", ""sheep""]","[""person"", ""sheep""]",3,0.017794733867049217,0.4177941083908081,0.12567374110221863,0.187087527786692,0.017794733867049217,0.4177941083908081,0.812912472213308,57.70318603515625,51.08433151245117,68.23013305664062,59.00588353474935,51.08433151245117,68.23013305664062,88.88537784520483,85.50091966834681,97
17,sofa,1630,1500,1969,003236,002989,003907,"[""person"", ""sofa""]","[""chair"", ""sofa"", ""tvmonitor""]","[""chair"", ""sofa""]",3,0.5493839979171753,0.8367123603820801,0.7766181230545044,0.7209048271179199,0.5493839979171753,0.8367123603820801,0.2790951728820801,29.048690795898438,16.701570510864258,19.58335304260254,21.77787144978841,16.701570510864258,29.048690795898438,74.53544433319301,73.29724937062939,223
18,train,1232,3712,3588,002462,007361,007101,"[""train""]","[""train""]","[""train""]",3,0.07270575314760208,0.9960454106330872,0.056533265858888626,0.37509480987985927,0.056533265858888626,0.9960454106330872,0.6249051901201408,31.838991165161133,10.730403900146484,40.7701530456543,27.779849370320637,10.730403900146484,40.7701530456543,96.65750404180429,91.4903579763166,259
19,tvmonitor,3642,1500,3650,007210,002989,007219,"[""tvmonitor""]","[""chair"", ""sofa"", ""tvmonitor""]","[""chair"", ""tvmonitor""]",3,0.6757490634918213,0.7298598289489746,0.8254075646400452,0.7436721523602804,0.6757490634918213,0.8254075646400452,0.2563278476397196,24.646411895751953,20.99456214904785,17.378265380859375,21.006413141886394,17.378265380859375,24.646411895751953,80.92551079126085,77.89401239373205,229
